"Source:","/home/brd/Work/cap_pcb/cap_pcb/cap_pcb.sch"
"Date:","Wed 04 Nov 2020 11:21:07 AM EST"
"Tool:","Eeschema 5.1.7+dfsg1-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","45"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","BAT1","BS-7","digikey-battery-holders:BS-7","digikey-footprints:Battery_Holder_Coin_2032_BS-7","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","Battery Products","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","/product-detail/en/mpd-memory-protection-devices/BS-7/BS-7-ND/389447","BATTERY HOLDER COIN 20MM PC PIN","BS-7-ND","Battery Holders, Clips, Contacts","BS-7","MPD (Memory Protection Devices)","Active"
"","","C0","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C1","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C2","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C3","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C4","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C5","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C6","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C7","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C8","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C9","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C10","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C11","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C12","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","C13","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"","","R0","10k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R1","10k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R2","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R3","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R4","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R5","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R6","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R7","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R8","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R9","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R10","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R11","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R12","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R13","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","R14","10k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"","","S1","EG1218","digikey-slide-switches:EG1218","digikey-footprints:Switch_Slide_11.6x4mm_EG1218","http://spec_sheets.e-switch.com/specs/P040040.pdf","Switches","http://spec_sheets.e-switch.com/specs/P040040.pdf","/product-detail/en/e-switch/EG1218/EG1903-ND/101726","SWITCH SLIDE SPDT 200MA 30V","EG1903-ND","Slide Switches","EG1218","E-Switch","Active"
"","","SW1","SW_MEC_5E","Switch:SW_MEC_5E","Button_Switch_THT:SW_MEC_5GTH9","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","","","","","","","","",""
"","","U0","ATtiny85-20PU","MCU_Microchip_ATtiny:ATtiny85-20PU","Package_DIP:DIP-8_W7.62mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","","","","","","","","",""
"","","U1","PCF8574","Interface_Expansion:PCF8574","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","","","","","","","","",""
"","","U2","HDSP-7803","Display_Character:HDSP-7803","Display_7Segment:HDSP-7801","https://docs.broadcom.com/docs/AV02-2553EN","","","","","","","","",""
"","","U3","PCF8574","Interface_Expansion:PCF8574","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","","","","","","","","",""
"","","U4","HDSP-7803","Display_Character:HDSP-7803","Display_7Segment:HDSP-7801","https://docs.broadcom.com/docs/AV02-2553EN","","","","","","","","",""
"","","U5","PCF8574","Interface_Expansion:PCF8574","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","","","","","","","","",""
"","","U6","HDSP-7803","Display_Character:HDSP-7803","Display_7Segment:HDSP-7801","https://docs.broadcom.com/docs/AV02-2553EN","","","","","","","","",""
"","","U7","PCF8574","Interface_Expansion:PCF8574","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","","","","","","","","",""
"","","U8","HDSP-7803","Display_Character:HDSP-7803","Display_7Segment:HDSP-7801","https://docs.broadcom.com/docs/AV02-2553EN","","","","","","","","",""
"","","U9","PCF8574","Interface_Expansion:PCF8574","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","","","","","","","","",""
"","","U10","HDSP-7803","Display_Character:HDSP-7803","Display_7Segment:HDSP-7801","https://docs.broadcom.com/docs/AV02-2553EN","","","","","","","","",""
"","","U11","HDSP-7803","Display_Character:HDSP-7803","Display_7Segment:HDSP-7801","https://docs.broadcom.com/docs/AV02-2553EN","","","","","","","","",""
"","","U12","PCF8574","Interface_Expansion:PCF8574","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"1","1","BAT1","BS-7","digikey-battery-holders:BS-7","digikey-footprints:Battery_Holder_Coin_2032_BS-7","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","Battery Products","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf","/product-detail/en/mpd-memory-protection-devices/BS-7/BS-7-ND/389447","BATTERY HOLDER COIN 20MM PC PIN","BS-7-ND","Battery Holders, Clips, Contacts","BS-7","MPD (Memory Protection Devices)","Active"
"2","7","C0, C2, C4, C6, C8, C10, C12","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"3","7","C1, C3, C5, C7, C9, C11, C13","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","",""
"4","3","R0, R1, R14","10k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"5","12","R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13","5k","Device:R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P25.40mm_Horizontal","~","","","","","","","","",""
"6","1","S1","EG1218","digikey-slide-switches:EG1218","digikey-footprints:Switch_Slide_11.6x4mm_EG1218","http://spec_sheets.e-switch.com/specs/P040040.pdf","Switches","http://spec_sheets.e-switch.com/specs/P040040.pdf","/product-detail/en/e-switch/EG1218/EG1903-ND/101726","SWITCH SLIDE SPDT 200MA 30V","EG1903-ND","Slide Switches","EG1218","E-Switch","Active"
"7","1","SW1","SW_MEC_5E","Switch:SW_MEC_5E","Button_Switch_THT:SW_MEC_5GTH9","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","","","","","","","","",""
"8","1","U0","ATtiny85-20PU","MCU_Microchip_ATtiny:ATtiny85-20PU","Package_DIP:DIP-8_W7.62mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","","","","","","","","",""
"9","6","U1, U3, U5, U7, U9, U12","PCF8574","Interface_Expansion:PCF8574","Package_DIP:DIP-16_W7.62mm","http://www.nxp.com/documents/data_sheet/PCF8574_PCF8574A.pdf","","","","","","","","",""
"10","6","U2, U4, U6, U8, U10, U11","HDSP-7803","Display_Character:HDSP-7803","Display_7Segment:HDSP-7801","https://docs.broadcom.com/docs/AV02-2553EN","","","","","","","","",""
